lang,zero_shot,organic_ft,organic_only,wikiann_ft,wikiann_only
kn,0.797150356,0.77972283,0.46429996,0.774952562,0.004460967
ta,0.714574082,0.737822956,0.72758181,0.622167285,0.549385333
te,0.811700183,0.783314876,0.761280932,0.737035675,0.671318399
ml,0.834834835,0.820027064,0.806462249,0.743779422,0.650793651
ibo,0.571641569,0.763999376,0.360299984,0.387449393,0.007660577
rw,0.533936652,0.568613848,0.073182475,0.353493222,0.001542416
sw,0.738530161,0.883832063,0.901507424,0.594800254,0.504310762
yor,0.389464339,0.536739659,0.162855549,0.214629451,0.070324819
da,0.747727273,0.849438202,0.847533632,0.713717694,0.722689076
sk,0.766704417,0.830332788,0.836363636,0.546573656,0.566899767
sv,0.859188544,0.88997555,0.875621891,0.292497626,0.355509356
